Dataset_Type,Dataset,Model,Method,Round,AUC,Spearman_PMI,Pearson_PMI,MSE_PMI,Spearman_Relevant,Pearson_Relevant,Spearman_Engaging,Pearson_Engaging
Synthetic,diagonal,Qwen3-1.7B,Direct_MEEP,3,0.5387229211631319,0.03185526986148358,0.03105091074106242,5.926568746157888,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Pair,3,0.863589,0.44729785420422913,0.5824310625948701,2.896323632515085,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Pair,3,0.8587520000000001,0.4207820619417642,0.495968303617782,56.454080455956,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Pair,3,0.8421953333333334,0.2497753833656396,0.49424688790539567,6.586332999439996,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Prompt,3,0.8338026666666666,0.44944049468848896,0.6008941291991287,2.490156871598445,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Prompt,3,0.8407946666666667,0.44926600186110777,0.5595241032591505,57.32644593928232,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Prompt,3,0.8146803333333333,0.24976081530165925,0.5162626458333841,9.618083000392938,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Pair,3,0.8317599999999999,0.30990429743517434,0.3857691234449026,7.433328478528894,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Prompt,3,0.8037096666666667,0.21246327344607188,0.37890577001825393,6.703884455581438,,,,
Synthetic,diagonal,Qwen3-1.7B,Direct_MEEP,4,0.5358179959777385,0.05497688167094107,0.036760878552398714,6.034901388162264,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Pair,4,0.8679860000000001,0.40220449575614153,0.5705711606300987,2.915935617234158,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Pair,4,0.86236,0.4884316965076284,0.4645135797101706,60.3146624006082,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Pair,4,0.8355769999999999,0.13099820246368096,0.4108316405986758,9.061506488559532,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Prompt,4,0.8384429999999999,0.47601993055073366,0.6015559562327917,3.6736195418031055,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Prompt,4,0.8448356666666665,0.46587060110496276,0.609611391292642,36.849575822582295,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Prompt,4,0.8230701666666665,0.3319343401320943,0.5916357488671123,2.7549010441240243,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Pair,4,0.8351846666666666,0.3337237997404646,0.3981188345707689,7.476035305864503,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Prompt,4,0.8039748333333333,0.22201001560773534,0.3890303475929771,6.8037862847224915,,,,
Synthetic,diagonal,Qwen3-1.7B,Direct_MEEP,5,0.5331757275531053,0.06691087265081017,0.08301038305704056,5.907824465500029,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Pair,5,0.8591511666666667,0.49079385295639294,0.5921377670896827,2.743251298879539,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Pair,5,0.8508509999999999,0.48306604096055383,0.4609944564827386,77.4703045956045,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Pair,5,0.8238085,0.21462997260111402,0.39505897231907816,9.9002284465213,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Prompt,5,0.8313198333333333,0.484572069023408,0.6200249279988373,1.5363248172952553,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Prompt,5,0.8386603333333335,0.4683249035958791,0.6065658101239177,51.149204575742665,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Prompt,5,0.8255764999999999,0.320365822055262,0.5526876413889299,4.233410779207537,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Pair,5,0.8346211666666666,0.31113699325952754,0.4251520237090545,6.76848762459819,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Prompt,5,0.7995358333333333,0.22121111861649173,0.4040330089354359,6.631286053186034,,,,
Synthetic,diagonal,Qwen3-1.7B,Direct_MEEP,1,0.5468922103866074,0.060900543453799305,0.027726640865084293,5.953377423410932,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Pair,1,0.8591851666666667,0.4957220191932464,0.544108327862768,3.1332549848518685,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Pair,1,0.8474523333333334,0.5594071145465748,0.420292672173159,101.05553934739369,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Pair,1,0.7979535,0.2913519852809393,0.37883076572833146,12.279812805198873,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Prompt,1,0.8275038333333333,0.47841806271690807,0.6092772860299825,2.63025872154834,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Prompt,1,0.8325281666666666,0.4617039569677054,0.5884688004242189,50.98505520663243,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Prompt,1,0.8138705,0.29028494583499587,0.5199035579756659,25.00086388162223,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Pair,1,0.8275335,0.31163533827289197,0.39357801474759563,7.638671926100487,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Prompt,1,0.8009648333333333,0.24674793315196736,0.3927865720789397,6.805555888565703,,,,
Synthetic,diagonal,Qwen3-1.7B,Direct_MEEP,2,0.5609887839743993,0.048557798137130195,0.0635470050156348,5.807789354514489,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Pair,2,0.8671313333333334,0.4511626134603724,0.5670245327217617,2.932343412574657,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Pair,2,0.8599693333333334,0.49328833980601744,0.5014371501486563,41.72574323649664,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Pair,2,0.838793,0.3733138597282839,0.48666676801826025,10.494941361736812,,,,
Synthetic,diagonal,Qwen3-1.7B,PMI_Prompt,2,0.8304073333333333,0.45198736515096877,0.6098649288854626,2.3970308555775244,,,,
Synthetic,diagonal,Qwen3-1.7B,MINE_Prompt,2,0.8410571666666666,0.45072977700651606,0.5787993536054986,68.22840998981908,,,,
Synthetic,diagonal,Qwen3-1.7B,InfoNCE_Prompt,2,0.8160133333333334,0.291349426252177,0.5423783306883653,7.811318333185969,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Pair,2,0.8232106666666666,0.29949174914121957,0.4102299273871358,7.5247422166035385,,,,
Synthetic,diagonal,Qwen3-1.7B,KDE_Prompt,2,0.8012763333333334,0.2060864913502788,0.39306774975734315,6.836094108748039,,,,
Synthetic,diagonal,Qwen3-4B,Direct_MEEP,3,0.5690852185496833,0.05729528992015331,0.06359434887084621,5.899559519488855,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Pair,3,0.8704175,0.41584759435487983,0.6266377616789237,2.1461097771329696,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Pair,3,0.8675179999999998,0.4772968587691411,0.5737853599130104,47.61146234390755,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Pair,3,0.8405748333333334,0.37320031795047454,0.5070501515847752,7.196703213712741,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Prompt,3,0.846191,0.445786568330799,0.6278521782968371,1.9302074752836722,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Prompt,3,0.8553078333333333,0.43248464548960935,0.6086398785646404,25.755137770141207,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Prompt,3,0.8276924999999999,0.193708912558923,0.5374622368545842,4.459272986717111,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Pair,3,0.8361078333333334,0.3661165659661953,0.47973316552971523,10.018755711643255,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Prompt,3,0.8316905000000001,0.35723716591865695,0.5356227602731758,5.694840945906308,,,,
Synthetic,diagonal,Qwen3-4B,Direct_MEEP,4,0.5553389881583267,-0.047314965834878576,-0.002633323629330944,6.197326716821403,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Pair,4,0.8726301666666667,0.45777119901801855,0.6092533248091127,2.4753237040003686,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Pair,4,0.8675398333333333,0.47016050626324657,0.543193838564107,45.74373349806809,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Pair,4,0.8420418333333334,0.31200841197505585,0.4933162093631135,6.835088700628976,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Prompt,4,0.8516501666666667,0.4525721907934738,0.6342693183848591,1.945766871529884,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Prompt,4,0.8554508333333333,0.4303763799375352,0.6051282778867747,33.7489842064136,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Prompt,4,0.8379325,0.23164542125515758,0.5703294331936215,2.2109467644357825,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Pair,4,0.8409348333333333,0.3824868697910693,0.5025469357010083,9.82598740643989,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Prompt,4,0.8383981666666667,0.38663137725547303,0.5403600189321413,5.61319929585111,,,,
Synthetic,diagonal,Qwen3-4B,Direct_MEEP,5,0.5417106878370764,-0.02137722074744939,0.032670286443472904,6.011106230827037,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Pair,5,0.8665166666666666,0.5189238490728001,0.6497426043695729,1.9422848939905113,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Pair,5,0.8562883333333334,0.5289650130738303,0.49724959567406746,66.22934375319197,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Pair,5,0.829141,0.3266514070511395,0.48252453023465414,9.328111271889883,,,,
Synthetic,diagonal,Qwen3-4B,PMI_Prompt,5,0.8467636666666667,0.4650247085768564,0.627264458121886,1.771762625310817,,,,
Synthetic,diagonal,Qwen3-4B,MINE_Prompt,5,0.8551893333333334,0.48321323861730686,0.6157599796272913,24.467264179608296,,,,
Synthetic,diagonal,Qwen3-4B,InfoNCE_Prompt,5,0.8328843333333334,0.20310353354159943,0.5420669867556762,3.905252794654931,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Pair,5,0.8376893333333333,0.36338832772268687,0.4943611630325419,9.655260113667198,,,,
Synthetic,diagonal,Qwen3-4B,KDE_Prompt,5,0.832821,0.38963099319857,0.539713533863726,5.517943990551728,,,,
