Dataset,Model,Method,AUC,Spearman_Engaging,Pearson_Engaging,Spearman_Relevant,Pearson_Relevant
en,Phi-4-mini-instruct,Direct_MEEP,0.673 (0.010),0.377 (0.073),0.364 (0.073),0.335 (0.085),0.311 (0.120)
en,Phi-4-mini-instruct,InfoNCE_Pair,0.835 (0.010),0.123 (0.046),0.134 (0.053),0.129 (0.136),0.135 (0.085)
en,Phi-4-mini-instruct,InfoNCE_Prompt,0.919 (0.002),0.328 (0.110),0.354 (0.097),0.436 (0.075),0.492 (0.088)
en,Phi-4-mini-instruct,KDE_Pair,0.809 (0.002),0.046 (0.045),0.017 (0.054),-0.043 (0.122),-0.014 (0.101)
en,Phi-4-mini-instruct,KDE_Prompt,0.881 (0.002),0.444 (0.089),0.410 (0.077),0.482 (0.052),0.512 (0.065)
en,Phi-4-mini-instruct,MINE_Pair,0.839 (0.006),0.117 (0.049),0.097 (0.060),0.131 (0.099),0.101 (0.051)
en,Phi-4-mini-instruct,MINE_Prompt,0.910 (0.005),0.309 (0.136),0.292 (0.120),0.379 (0.107),0.327 (0.103)
en,Phi-4-mini-instruct,PMI_Pair,0.841 (0.008),0.117 (0.056),0.107 (0.047),0.102 (0.118),0.093 (0.052)
en,Phi-4-mini-instruct,PMI_Prompt,0.922 (0.002),0.322 (0.127),0.331 (0.127),0.407 (0.096),0.412 (0.103)
en,Qwen3-0.6B,Direct_MEEP,0.531 (0.013),0.221 (0.100),0.267 (0.055),0.129 (0.127),0.162 (0.107)
en,Qwen3-0.6B,InfoNCE_Pair,0.863 (0.006),0.098 (0.117),0.083 (0.117),0.106 (0.080),0.058 (0.087)
en,Qwen3-0.6B,InfoNCE_Prompt,0.830 (0.009),0.009 (0.092),0.043 (0.071),0.175 (0.069),0.183 (0.048)
en,Qwen3-0.6B,KDE_Pair,0.818 (0.002),-0.020 (0.079),-0.039 (0.070),0.113 (0.089),0.041 (0.078)
en,Qwen3-0.6B,KDE_Prompt,0.781 (0.005),0.074 (0.077),0.118 (0.088),0.214 (0.092),0.308 (0.071)
en,Qwen3-0.6B,MINE_Pair,0.858 (0.012),0.111 (0.060),0.078 (0.084),0.200 (0.068),0.137 (0.079)
en,Qwen3-0.6B,MINE_Prompt,0.829 (0.026),0.170 (0.077),0.151 (0.097),0.258 (0.081),0.180 (0.073)
en,Qwen3-0.6B,PMI_Pair,0.712 (0.137),0.055 (0.064),0.003 (0.039),0.073 (0.170),0.085 (0.096)
en,Qwen3-0.6B,PMI_Prompt,0.858 (0.006),0.131 (0.057),0.166 (0.050),0.286 (0.075),0.324 (0.063)
en,Qwen3-1.7B,Direct_MEEP,-,0.019 (0.049),0.029 (0.059),-0.018 (0.082),-0.049 (0.040)
en,Qwen3-1.7B,InfoNCE_Pair,0.860 (0.003),0.146 (0.112),0.130 (0.133),0.048 (0.087),0.069 (0.119)
en,Qwen3-1.7B,InfoNCE_Prompt,0.885 (0.006),0.150 (0.050),0.193 (0.030),0.321 (0.078),0.345 (0.043)
en,Qwen3-1.7B,KDE_Pair,0.841 (0.003),0.069 (0.033),0.002 (0.048),0.138 (0.030),-0.001 (0.082)
en,Qwen3-1.7B,KDE_Prompt,0.793 (0.004),0.123 (0.078),0.171 (0.043),0.180 (0.060),0.203 (0.052)
en,Qwen3-1.7B,MINE_Pair,0.855 (0.006),0.137 (0.123),0.113 (0.121),0.080 (0.073),0.036 (0.048)
en,Qwen3-1.7B,MINE_Prompt,0.892 (0.003),0.258 (0.087),0.206 (0.091),0.406 (0.092),0.299 (0.130)
en,Qwen3-1.7B,PMI_Pair,0.810 (0.071),0.097 (0.049),0.079 (0.068),0.061 (0.064),0.016 (0.030)
en,Qwen3-1.7B,PMI_Prompt,0.903 (0.004),0.258 (0.076),0.295 (0.050),0.433 (0.055),0.434 (0.056)
en,Qwen3-4B,Direct_MEEP,0.670 (0.016),0.083 (0.134),0.065 (0.104),0.038 (0.110),0.051 (0.073)
en,Qwen3-4B,InfoNCE_Pair,0.864 (0.007),0.146 (0.079),0.139 (0.075),0.086 (0.039),0.070 (0.033)
en,Qwen3-4B,InfoNCE_Prompt,0.936 (0.006),0.229 (0.136),0.233 (0.124),0.351 (0.090),0.337 (0.152)
en,Qwen3-4B,KDE_Pair,0.847 (0.004),0.099 (0.058),0.047 (0.024),0.092 (0.053),-0.002 (0.069)
en,Qwen3-4B,KDE_Prompt,0.914 (0.003),0.411 (0.100),0.393 (0.102),0.381 (0.076),0.368 (0.079)
en,Qwen3-4B,MINE_Pair,0.860 (0.005),0.106 (0.118),0.111 (0.133),0.106 (0.048),0.101 (0.090)
en,Qwen3-4B,MINE_Prompt,0.933 (0.003),0.393 (0.120),0.377 (0.120),0.445 (0.024),0.377 (0.050)
en,Qwen3-4B,PMI_Pair,0.865 (0.006),0.083 (0.153),0.077 (0.153),0.098 (0.069),0.080 (0.083)
en,Qwen3-4B,PMI_Prompt,0.941 (0.002),0.390 (0.123),0.374 (0.119),0.475 (0.028),0.470 (0.068)
en,Qwen3-8B,Direct_MEEP,-,0.479 (0.098),0.502 (0.118),0.173 (0.153),0.231 (0.136)
en,Qwen3-8B,InfoNCE_Pair,0.855 (0.007),0.199 (0.119),0.153 (0.118),0.152 (0.070),0.100 (0.082)
en,Qwen3-8B,InfoNCE_Prompt,0.952 (0.003),0.333 (0.103),0.368 (0.084),0.414 (0.045),0.460 (0.053)
en,Qwen3-8B,KDE_Pair,0.826 (0.005),0.022 (0.106),0.003 (0.089),0.029 (0.057),-0.016 (0.079)
en,Qwen3-8B,KDE_Prompt,0.926 (0.004),0.518 (0.084),0.487 (0.090),0.365 (0.074),0.396 (0.074)
en,Qwen3-8B,MINE_Pair,0.849 (0.006),0.171 (0.121),0.183 (0.119),0.162 (0.095),0.138 (0.089)
en,Qwen3-8B,MINE_Prompt,0.947 (0.003),0.463 (0.094),0.472 (0.089),0.462 (0.023),0.462 (0.059)
en,Qwen3-8B,PMI_Pair,0.853 (0.009),0.174 (0.115),0.163 (0.104),0.151 (0.093),0.123 (0.090)
en,Qwen3-8B,PMI_Prompt,0.952 (0.003),0.459 (0.091),0.475 (0.089),0.467 (0.032),0.521 (0.056)
en,meta-llama-Llama-3.2-3B-Instruct-FP16,Direct_MEEP,0.653 (0.009),0.248 (0.063),0.239 (0.068),0.105 (0.090),0.105 (0.087)
en,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Pair,0.852 (0.005),0.162 (0.050),0.166 (0.038),0.164 (0.085),0.165 (0.089)
en,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Prompt,0.907 (0.009),0.160 (0.164),0.189 (0.175),0.349 (0.104),0.344 (0.151)
en,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Pair,0.856 (0.006),0.193 (0.038),0.135 (0.047),0.215 (0.029),0.125 (0.078)
en,meta-llama-Llama-3.2-3B-Instruct-FP16,KDE_Prompt,0.884 (0.002),0.392 (0.068),0.346 (0.065),0.393 (0.095),0.366 (0.121)
en,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Pair,0.849 (0.004),0.146 (0.043),0.155 (0.036),0.139 (0.020),0.126 (0.017)
en,meta-llama-Llama-3.2-3B-Instruct-FP16,MINE_Prompt,0.926 (0.005),0.301 (0.137),0.269 (0.108),0.371 (0.058),0.314 (0.071)
en,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Pair,0.848 (0.004),0.165 (0.050),0.171 (0.046),0.160 (0.040),0.144 (0.043)
en,meta-llama-Llama-3.2-3B-Instruct-FP16,PMI_Prompt,0.934 (0.003),0.297 (0.145),0.318 (0.132),0.384 (0.069),0.395 (0.129)
zh,Phi-4-mini-instruct,Direct_MEEP,-,-,-,0.128 (0.060),0.122 (0.070)
zh,Phi-4-mini-instruct,InfoNCE_Pair,0.698 (0.006),-,-,0.255 (0.048),0.255 (0.025)
zh,Phi-4-mini-instruct,InfoNCE_Prompt,0.799 (0.006),-,-,0.405 (0.037),0.415 (0.031)
zh,Phi-4-mini-instruct,KDE_Pair,0.646 (0.007),-,-,0.278 (0.031),0.250 (0.024)
zh,Phi-4-mini-instruct,KDE_Prompt,0.741 (0.002),-,-,0.389 (0.037),0.363 (0.022)
zh,Phi-4-mini-instruct,MINE_Pair,0.695 (0.002),-,-,0.358 (0.030),0.368 (0.015)
zh,Phi-4-mini-instruct,MINE_Prompt,0.812 (0.006),-,-,0.453 (0.045),0.402 (0.042)
zh,Phi-4-mini-instruct,PMI_Pair,0.692 (0.007),-,-,0.349 (0.033),0.352 (0.019)
zh,Phi-4-mini-instruct,PMI_Prompt,0.824 (0.003),-,-,0.475 (0.047),0.470 (0.041)
zh,Qwen3-0.6B,Direct_MEEP,0.531 (0.009),-,-,0.080 (0.047),0.066 (0.037)
zh,Qwen3-0.6B,InfoNCE_Pair,0.722 (0.007),-,-,0.292 (0.074),0.289 (0.063)
zh,Qwen3-0.6B,InfoNCE_Prompt,0.761 (0.011),-,-,0.388 (0.073),0.380 (0.069)
zh,Qwen3-0.6B,KDE_Pair,0.677 (0.004),-,-,0.379 (0.039),0.396 (0.024)
zh,Qwen3-0.6B,KDE_Prompt,0.682 (0.009),-,-,0.170 (0.064),0.134 (0.039)
zh,Qwen3-0.6B,MINE_Pair,0.712 (0.040),-,-,0.261 (0.161),0.242 (0.117)
zh,Qwen3-0.6B,MINE_Prompt,0.776 (0.006),-,-,0.404 (0.080),0.372 (0.086)
zh,Qwen3-0.6B,PMI_Pair,0.521 (0.035),-,-,-0.076 (0.129),-0.053 (0.097)
zh,Qwen3-0.6B,PMI_Prompt,0.774 (0.005),-,-,0.430 (0.023),0.419 (0.026)
zh,Qwen3-1.7B,Direct_MEEP,0.525 (0.011),-,-,0.051 (0.057),0.065 (0.065)
zh,Qwen3-1.7B,InfoNCE_Pair,0.718 (0.006),-,-,0.244 (0.039),0.256 (0.037)
zh,Qwen3-1.7B,InfoNCE_Prompt,0.789 (0.002),-,-,0.404 (0.043),0.391 (0.044)
zh,Qwen3-1.7B,KDE_Pair,0.670 (0.007),-,-,0.391 (0.024),0.371 (0.034)
zh,Qwen3-1.7B,KDE_Prompt,0.700 (0.004),-,-,0.320 (0.023),0.306 (0.015)
zh,Qwen3-1.7B,MINE_Pair,0.718 (0.002),-,-,0.352 (0.017),0.337 (0.026)
zh,Qwen3-1.7B,MINE_Prompt,0.801 (0.006),-,-,0.473 (0.058),0.397 (0.074)
zh,Qwen3-1.7B,PMI_Pair,0.716 (0.008),-,-,0.330 (0.043),0.330 (0.046)
zh,Qwen3-1.7B,PMI_Prompt,0.812 (0.004),-,-,0.474 (0.056),0.464 (0.058)
zh,Qwen3-4B,Direct_MEEP,0.582 (0.012),-,-,0.142 (0.057),0.171 (0.049)
zh,Qwen3-4B,InfoNCE_Pair,0.731 (0.007),-,-,0.255 (0.032),0.263 (0.019)
zh,Qwen3-4B,InfoNCE_Prompt,0.846 (0.005),-,-,0.415 (0.054),0.423 (0.062)
zh,Qwen3-4B,KDE_Pair,0.673 (0.002),-,-,0.385 (0.019),0.364 (0.021)
zh,Qwen3-4B,KDE_Prompt,0.797 (0.006),-,-,0.495 (0.022),0.422 (0.027)
zh,Qwen3-4B,MINE_Pair,0.727 (0.008),-,-,0.369 (0.043),0.354 (0.028)
zh,Qwen3-4B,MINE_Prompt,0.852 (0.005),-,-,0.535 (0.050),0.477 (0.054)
zh,Qwen3-4B,PMI_Pair,0.692 (0.071),-,-,0.372 (0.061),0.364 (0.052)
zh,Qwen3-4B,PMI_Prompt,0.861 (0.004),-,-,0.552 (0.048),0.540 (0.045)
zh,Qwen3-8B,Direct_MEEP,0.669 (0.014),-,-,0.217 (0.046),0.204 (0.057)
zh,Qwen3-8B,InfoNCE_Pair,0.713 (0.010),-,-,0.259 (0.055),0.257 (0.066)
zh,Qwen3-8B,InfoNCE_Prompt,0.878 (0.003),-,-,0.506 (0.068),0.515 (0.056)
zh,Qwen3-8B,KDE_Pair,0.666 (0.008),-,-,0.331 (0.028),0.302 (0.022)
zh,Qwen3-8B,KDE_Prompt,0.814 (0.002),-,-,0.433 (0.042),0.410 (0.018)
zh,Qwen3-8B,MINE_Pair,0.709 (0.005),-,-,0.379 (0.039),0.391 (0.032)
zh,Qwen3-8B,MINE_Prompt,0.878 (0.002),-,-,0.570 (0.053),0.515 (0.060)
zh,Qwen3-8B,PMI_Pair,0.711 (0.002),-,-,0.376 (0.045),0.378 (0.038)
