Dataset,Model,Method,AUC,Spearman_PMI,Pearson_PMI,MSE_PMI
block,Phi-4-mini-instruct,Direct_MEEP,0.636 (0.009),-0.061 (0.020),0.124 (0.021),2.902 (0.038)
block,Phi-4-mini-instruct,InfoNCE_Pair,0.810 (0.015),0.168 (0.083),0.482 (0.043),5.382 (1.737)
block,Phi-4-mini-instruct,InfoNCE_Prompt,0.833 (0.004),0.066 (0.020),0.662 (0.042),1.686 (1.042)
block,Phi-4-mini-instruct,KDE_Pair,0.818 (0.005),0.356 (0.021),0.603 (0.008),9.337 (0.318)
block,Phi-4-mini-instruct,KDE_Prompt,0.842 (0.004),0.375 (0.016),0.702 (0.016),1.923 (0.036)
block,Phi-4-mini-instruct,MINE_Pair,0.848 (0.003),0.405 (0.045),0.786 (0.012),12.551 (1.875)
block,Phi-4-mini-instruct,MINE_Prompt,0.846 (0.003),0.384 (0.044),0.754 (0.023),2.520 (3.499)
block,Phi-4-mini-instruct,PMI_Pair,0.849 (0.003),0.439 (0.040),0.850 (0.006),0.325 (0.072)
block,Phi-4-mini-instruct,PMI_Prompt,0.844 (0.004),0.401 (0.026),0.802 (0.017),0.350 (0.070)
block,Qwen3-0.6B,Direct_MEEP,0.510 (0.002),-0.043 (0.012),-0.002 (0.043),3.119 (0.079)
block,Qwen3-0.6B,InfoNCE_Pair,0.805 (0.007),0.236 (0.070),0.443 (0.057),16.351 (3.166)
block,Qwen3-0.6B,InfoNCE_Prompt,0.778 (0.005),-0.060 (0.047),0.370 (0.016),12.089 (13.000)
block,Qwen3-0.6B,KDE_Pair,0.847 (0.002),0.440 (0.025),0.758 (0.007),1.646 (0.052)
block,Qwen3-0.6B,KDE_Prompt,0.794 (0.008),0.137 (0.005),0.390 (0.009),4.268 (0.019)
block,Qwen3-0.6B,MINE_Pair,0.841 (0.004),0.378 (0.048),0.470 (0.071),89.257 (23.242)
block,Qwen3-0.6B,MINE_Prompt,0.816 (0.005),0.214 (0.020),0.533 (0.012),14.253 (16.473)
block,Qwen3-0.6B,PMI_Pair,0.845 (0.001),0.447 (0.078),0.652 (0.027),2.575 (0.912)
block,Qwen3-0.6B,PMI_Prompt,0.782 (0.005),0.237 (0.013),0.470 (0.019),1.287 (0.424)
block,Qwen3-1.7B,Direct_MEEP,0.521 (0.011),-0.030 (0.020),0.037 (0.042),3.058 (0.069)
block,Qwen3-1.7B,InfoNCE_Pair,0.797 (0.013),0.171 (0.102),0.410 (0.026),10.098 (1.751)
block,Qwen3-1.7B,InfoNCE_Prompt,0.793 (0.008),0.275 (0.036),0.464 (0.027),5.630 (3.639)
block,Qwen3-1.7B,KDE_Pair,0.829 (0.004),0.400 (0.015),0.619 (0.015),3.567 (0.106)
block,Qwen3-1.7B,KDE_Prompt,0.815 (0.005),0.262 (0.018),0.550 (0.021),2.677 (0.028)
block,Qwen3-1.7B,MINE_Pair,0.847 (0.003),0.422 (0.039),0.648 (0.039),23.991 (1.558)
block,Qwen3-1.7B,MINE_Prompt,0.826 (0.005),0.273 (0.028),0.578 (0.019),12.457 (8.151)
block,Qwen3-1.7B,PMI_Pair,0.849 (0.003),0.431 (0.031),0.783 (0.009),0.699 (0.163)
block,Qwen3-1.7B,PMI_Prompt,0.824 (0.005),0.272 (0.016),0.649 (0.038),0.692 (0.331)
block,Qwen3-4B,Direct_MEEP,0.589 (0.005),-0.030 (0.033),0.096 (0.045),2.964 (0.075)
block,Qwen3-4B,InfoNCE_Pair,0.825 (0.011),0.297 (0.027),0.522 (0.044),6.553 (3.316)
block,Qwen3-4B,InfoNCE_Prompt,0.830 (0.004),0.065 (0.013),0.639 (0.022),0.850 (0.053)
block,Qwen3-4B,KDE_Pair,0.825 (0.005),0.387 (0.014),0.641 (0.017),5.466 (0.195)
block,Qwen3-4B,KDE_Prompt,0.834 (0.008),0.324 (0.015),0.638 (0.009),2.059 (0.061)
block,Qwen3-4B,MINE_Pair,0.850 (0.003),0.421 (0.052),0.711 (0.033),22.375 (4.671)
block,Qwen3-4B,MINE_Prompt,0.840 (0.004),0.330 (0.019),0.742 (0.029),2.080 (2.841)
block,Qwen3-4B,PMI_Pair,0.852 (0.002),0.457 (0.049),0.821 (0.008),0.443 (0.040)
block,Qwen3-4B,PMI_Prompt,0.840 (0.004),0.376 (0.018),0.777 (0.017),0.371 (0.064)
block,Qwen3-8B,Direct_MEEP,0.693 (0.010),0.041 (0.030),0.191 (0.035),2.789 (0.077)
block,Qwen3-8B,InfoNCE_Pair,0.830 (0.009),0.260 (0.036),0.585 (0.045),4.250 (0.795)
block,Qwen3-8B,InfoNCE_Prompt,0.830 (0.005),0.122 (0.034),0.750 (0.011),0.702 (0.262)
block,Qwen3-8B,KDE_Pair,0.816 (0.007),0.345 (0.017),0.566 (0.016),14.837 (0.453)
block,Qwen3-8B,KDE_Prompt,0.833 (0.005),0.349 (0.019),0.632 (0.024),2.533 (0.104)
block,Qwen3-8B,MINE_Pair,0.848 (0.002),0.447 (0.057),0.784 (0.014),10.724 (2.271)
block,Qwen3-8B,MINE_Prompt,0.845 (0.004),0.412 (0.022),0.808 (0.019),0.398 (0.075)
block,Qwen3-8B,PMI_Pair,0.848 (0.002),0.433 (0.036),0.823 (0.010),0.406 (0.040)
block,Qwen3-8B,PMI_Prompt,0.842 (0.004),0.425 (0.022),0.811 (0.010),0.337 (0.047)
block,meta-llama-Llama-3.2-3B-Instruct-FP16,Direct_MEEP,0.635 (0.006),0.062 (0.021),0.128 (0.027),2.893 (0.050)
block,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Pair,0.827 (0.011),0.476 (0.057),0.567 (0.027),6.670 (1.709)
block,meta-llama-Llama-3.2-3B-Instruct-FP16,InfoNCE_Prompt,0.827 (0.005),0.235 (0.046),0.639 (0.061),3.618 (3.860)
