dialog_key,context,response
TPCCHT-003489,"hello ! do you like using computers ?
not that much but i do have to for work . luckily i don ' t smoke as smoking near apple computers voids their warranty .",lol i use them a lot . the space shuttle ' s general purpose computer ran on 1mb of ram .
METALW-009047,"Hello how may I help you?
I'm looking to buy a bike helmet
Do you have the product number?
Yes UR77465",Its the Iron Man Titanium helmet for $59.99. Is that correct?
TPCCHT-000457,"yes . i can ' t believe the green lantern was going to be a comedy with jack black !
yeah thats weird ! not sure it woldve made it better though lol
couldn ' t have hurt much . : ) i was surprised to know that the python programming language was , in part , named after monty python .
yeah thought that might have been a coincidence . i guess comedy central has not been doing great , it has cancelled over shows !
that or they ' re picky . bill murray isn ' t so picky . he thought the "" kung fu hustle "" was super great .
it was a great movie !
i am an amatuer astonomer and jupiter ' s moon ganymede fascinates me since it is big enough to be a planet .
that is really big !
another one is that uranus is actually rotating on its side . many think it was involved in a major collision .
oh thats interesting . and the accident threw it off axis ? if it rotates on its side , does that mean there is an area that doesnt get any sun ?","yeah , the sunlight is in weird time patterns on the poles . i guess the building blocks of life ( e . g . , rna ) have been detected on a planetary system 455 light - years away ."
MOVDIC-055944,Where we going?,Anywhere.  We'll talk about it in the car.
METALW-029324,"Hello how may I help you?
I need help with a possible scam
Tell me what's going on.
I'm getting unsolicited phone calls from an unfamiliar number. They never leave a message. Is this a possible scam?
It could be, hard to say from just that. Block the calls if you feel uncomfortable.
Should I report the number?
That wouldn't be a bad idea. Contact the police if you want to.",Ok those are some helpful tips
METALW-000624,"Hello how may I help you?
I have a question about my policy
Ok, what's your question?
I need to know how much more it would cost to add my wife to my policy
And what's your current policy?",My policy number is 9287623
DECODE-001852,"__SILENCE__
hi there , how are you this lovely day ?
it is names quinn , and i love to play basketball .
oh , i love to read suspense novels .
my grandpa takes me to the ice cream parlor after school on fridays
oh that sounds like fun . pizza is my favorite though .
me too ! ! he takes me for pizza too ! ! pepperoni is my fave topping ! !",are you in a relationship ? i am single .
HOLLED-007221,"What was your favorite scene in this movie?
I liked the one in which Holmes was riding the pony.","For me, it was every scene. Absolute art."
PERCHT-010897,"well that is between my two part time jobs .
wow , what do you do ?
i am a nurse . i work in the er and surgery unit
sick , i bet you have seen some pretty grotty stuff !
yes it is awesome . i must admit i love fantasy . what do you do ?
you probably know who i am . i am a lead singer of your favorite band .
no way ! ! ! tell me , tell me !
sorry . but maybe we party sometime . that is my second part time job . d
i live in texas , where are you traveling right now ?
keeping it local for now . traveled too much with my dad as a kid",i totally understand that . it is tough for kids .
WOWIKI-011386,"One of my friends was recently diagnosed with Obsessive-compulsive disorder.
Obsessive–compulsive disorder (OCD) is a mental disorder where people feel the need to check things repeatedly,
Yes, exactly! My friend can not stand when things are placed on a table out of line.
It makes one unable to control either the thoughts or the activities for more than a short period of time.
Wow, I did not know that it made one unable to control their thoughts. That is an interesting bit of information.
Such routine as hand washing, counting of things, and checking to see if a door is locked.
Do you know anyone with OCD?
(OCD) is a mental disorder where people feel the need to check things repeatedly, perform certain routines repeatedly (called ""rituals"")
I do not feel like you are even replying to my remarks about OCD.","No,do you? There appear to be some genetic components with both identical twins."
