x_id,y_id,context,response,p_xy,p_x,p_y,context_paraphrased,response_paraphrased
3,3,I feel nervous today.,Sounds like you are nervous.,0.0765850380316523,0.08475461434852766,0.07970537285704872,I am experiencing a degree of apprehension today.,I understand that you may be feeling a bit apprehensive.
12,12,I feel disappointed today.,Sounds like you are disappointed.,0.02281493041821502,0.04292780429058317,0.023552390565437724,I am experiencing disappointment today.,"Bummer, huh? You sound bummed out."
13,13,I feel satisfied today.,Sounds like you are satisfied.,0.12842150700667673,0.1296827869100335,0.15535153731228526,I'm feeling really good today!,It appears that you are satisfied.
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I'm feeling pretty happy today!,It appears you are expressing a state of joy.
16,16,I feel shy today.,Sounds like you are shy.,0.0024684973703693797,0.006344448557091872,0.006027845141587306,"Feeling a bit shy today, you know?",It sounds like you might be a little shy.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I'm feeling pretty chill today.,It appears you are experiencing a sense of calm.
7,7,I feel calm today.,Sounds like you are calm.,0.15356083156742012,0.16767213011383372,0.1603112088778384,I am experiencing a sense of tranquility today.,It appears you are exhibiting a state of composure.
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I am experiencing a degree of somnolence today.,It appears you may be feeling quite tired.
5,5,I feel bored today.,Sounds like you are bored.,0.03513395329608976,0.03622373035898613,0.046158482927397666,I am feeling a bit listless today.,You sound bored.
16,16,I feel shy today.,Sounds like you are shy.,0.0024684973703693797,0.006344448557091872,0.006027845141587306,I am experiencing a feeling of shyness today.,It appears you may be feeling a bit reserved.
0,10,I feel happy today.,Sounds like you are anxious.,0.0003355907592781501,0.015657114770422868,0.009382328458980823,I am experiencing a sense of contentment at present.,You sound a little worried.
17,14,I feel lonely today.,Sounds like you are sleepy.,0.0015686095713067347,0.010199315225875251,0.11220020935098385,I am experiencing a sense of solitude today.,It appears you may be experiencing fatigue.
1,1,I feel sad today.,Sounds like you are sad.,0.04552833081239757,0.07174537302890012,0.04672816852888273,"Ugh, I'm feeling a bit down today.",It appears you are experiencing sadness.
14,14,I feel sleepy today.,Sounds like you are sleepy.,0.08176923815854698,0.08300759416796515,0.11220020935098385,I'm feeling pretty sleepy today.,"Aww, you sound like you're ready for a cozy nap! 😴"
11,11,I feel joyful today.,Sounds like you are joyful.,0.10262113222838073,0.12263429071470407,0.1039303610245043,I am experiencing a state of happiness today.,You sound happy!
19,19,I feel confused today.,Sounds like you are confused.,0.013150256130707185,0.01602835315688053,0.016595341860360227,"Man, I'm all sorts of mixed up today.","You seem a bit mixed up, huh?"
