dialog_key,annot_engaging_mean,annot_overall_mean,annot_relevant_mean
human|en/fed-turn/fed-turn_eval.json,1.8,2.6,1.8
human|en/fed-turn/fed-turn_eval.json,1.6,3.4,1.8
human|en/fed-turn/fed-turn_eval.json,1.4,2.2,1.8
human|en/fed-turn/fed-turn_eval.json,1.8,3.6,2.0
human|en/fed-turn/fed-turn_eval.json,1.8,3.4,2.0
human|en/fed-turn/fed-turn_eval.json,1.4,3.6,2.0
human|en/fed-turn/fed-turn_eval.json,1.2,3.2,2.0
human|en/fed-turn/fed-turn_eval.json,0.8,1.4,1.4
human|en/fed-turn/fed-turn_eval.json,1.6,2.8,2.0
human|en/fed-turn/fed-turn_eval.json,1.2,3.2,1.8
human|en/fed-turn/fed-turn_eval.json,1.6,2.8,1.4
human|en/fed-turn/fed-turn_eval.json,1.2,3.2,1.8
human|en/fed-turn/fed-turn_eval.json,1.8,2.8,1.6
human|en/fed-turn/fed-turn_eval.json,1.4,3.0,1.6
human|en/fed-turn/fed-turn_eval.json,1.6,2.8,1.4
human|en/fed-turn/fed-turn_eval.json,1.4,2.8,2.0
human|en/fed-turn/fed-turn_eval.json,0.6,1.4,1.0
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,2.0
human|en/fed-turn/fed-turn_eval.json,1.8,2.4,1.8
human|en/fed-turn/fed-turn_eval.json,1.4,2.8,1.8
human|en/fed-turn/fed-turn_eval.json,1.8,3.2,1.8
human|en/fed-turn/fed-turn_eval.json,1.8,2.6,1.6
human|en/fed-turn/fed-turn_eval.json,1.6,3.2,1.4
human|en/fed-turn/fed-turn_eval.json,1.8,2.8,1.8
human|en/fed-turn/fed-turn_eval.json,1.8,2.8,1.8
human|en/fed-turn/fed-turn_eval.json,1.6,3.2,1.8
human|en/fed-turn/fed-turn_eval.json,1.6,2.8,1.6
human|en/fed-turn/fed-turn_eval.json,1.6,3.2,1.8
human|en/fed-turn/fed-turn_eval.json,1.6,2.6,1.8
human|en/fed-turn/fed-turn_eval.json,1.4,3.0,1.8
human|en/fed-turn/fed-turn_eval.json,1.2,2.6,1.5
human|en/fed-turn/fed-turn_eval.json,0.0,0.8,0.2
human|en/fed-turn/fed-turn_eval.json,0.2,0.2,0.2
human|en/fed-turn/fed-turn_eval.json,1.6,3.2,1.6
human|en/fed-turn/fed-turn_eval.json,1.8,2.4,1.4
human|en/fed-turn/fed-turn_eval.json,1.8,3.2,1.8
