idx,score_mean,score_std,scores_raw,llm_outputs_raw
0,44.4,33.873883745446136,"[37.0, 0.0, 60.0, 25.0, 100.0]","["" 37\nExplanation: The response is not very engaging because it is very brief"", "" 0\nThe response does not engage with the dialogue context because it doesn't acknowledge"", "" 60\nThe response is technically correct, but it's too brief for a conversation"", "" 25\nThe response is technically correct, but it lacks engagement and fails to"", "" 27/100 (the response is factual, but does not directly address the""]"
1,45.2,45.74013554855298,"[26.0, 0.0, 0.0, 100.0, 100.0]","["" 26 The response does not show much variety or specificity, and it does not"", "" 0\nThe response is not engaging as it does not vary from the context"", "" 0\nThe response given is very disengaging. It doesn't seem to relate"", "" 44/100. The response shows a bit of interest in the film,"", "" 20/100. The response is very disengaging as it only provides a""]"
2,60.4,37.95576372568467,"[62.0, 0.0, 100.0, 40.0, 100.0]","["" 62\nThe response is somewhat engaging as it shows a bit of variety in"", "" 0\nThe given response is merely a factual statement and doesn't exhibit any of"", "" 28/100\nThe response is a little engaging because it answers the question"", "" 40\nReasoning: The response answers the question and provides some basic information"", "" 27/100 The response is minimal and does not show much variety or interest""]"
3,53.6,41.131982689872856,"[100.0, 100.0, 0.0, 50.0, 18.0]","["" 15/100 The response provided is quite disengaging. It is short,"", "" 23/100. The response is very brief and does not encourage the other"", "" 0\nThe above response is very short and doesn't seem to even address the"", "" 50\nAlthough it is not very engaging, the response still shows some interest"", "" 18\nThe response is very casual, not engaging, and does not encourage""]"
4,68.8,29.471342012198903,"[75.0, 33.0, 100.0, 100.0, 36.0]","["" 75\nThe given response is quite engaging because it provides specific information about the"", "" 33\nThe response is somewhat interesting, as it provides information about the awards"", "" 28/100\nThe response is somewhat engaging as it provides factual information about"", "" 36/100\nThe response is quite specific, mentioning awards the film received"", "" 36\nThe response was fairly factual and informative, providing details about awards,""]"
5,62.2,20.7499397589487,"[40.0, 100.0, 52.0, 67.0, 52.0]","["" 40\nDialogue context: \u4f60\u770b\u8fc7\u300a\u4e09\u5757\u5e7f\u544a\u724c\u300b"", "" 100\nThe response immediately and directly references the subject of the discussion (the"", "" 52\n\nThe response is somewhat engaging. It includes a specific detail about the"", "" 67\n\nThe response is somewhat engaging; it provides specific information about the movie"", "" 52\n\nThe response is quite engaging as it does show a variety of responses""]"
6,47.4,34.966269460724575,"[25.0, 71.0, 41.0, 100.0, 0.0]","["" 25\nThe response is somewhat engaging, but it doesn\u2019t really encourage a"", "" 71\nReasoning: This is a neutral answer, but it is still"", "" 41\nAnalysis: The response brings in interesting information about the director Martin Mc"", "" 24/100\nThe response appears to offer a bit of information and shows"", "" 0\nThe response does not respond directly to the question asked and gives no""]"
7,41.0,35.3157188798416,"[81.0, 0.0, 0.0, 76.0, 48.0]","["" 81\nExplanation: The response is highly specific, mentioning awards and the director"", "" 0\nThe response is very disengaging as it provides very little context for"", "" 0\nReason: Response is not engaging, it is just a list of"", "" 76\nExplanation: The response is engaging because it provides specific and interesting information"", "" 48\nExplanation:A response that indicates the subject has read the movie and provides""]"
8,70.2,21.81192334481304,"[67.0, 80.0, 100.0, 71.0, 33.0]","["" 67\nReasoning: The response shows a variety of information related to the"", "" 80\nThe response is relatively engaging, as it continues the discussion about the"", "" 23/100\nThe response is very short and doesn't really follow up on"", "" 71\nExplanation: The response is informative and adds value to the conversation by"", "" 33\nExplanation: The response is quite engaging, as it shows variety and""]"
9,45.0,18.099723754798028,"[51.0, 78.0, 33.0, 30.0, 33.0]","["" 51\nExplanation: This response is engaging as it contains useful information about the"", "" 78\nThe response is rather engaging because it offers specific information about the director"", "" 33\nThe response is somewhat engaging, but it's not very specific or interesting"", "" 30\nReason: The response provides some factual information about the director of the"", "" 33\nExplanation: The response is somewhat engaging as it provides specific information about""]"
