dialog_key,annot_engaging_mean,annot_overall_mean,annot_relevant_mean,score_PMI_Pair,score_MINE_Pair,score_InfoNCE_Pair,score_PMI_Prompt,score_MINE_Prompt,score_InfoNCE_Prompt,score_KDE_Pair,score_KDE_Prompt
human|en/fed-turn/fed-turn_eval.json,1.8,2.6,1.8,-0.8463433,-10.81756,-3.009204,5.225294,19.372042,9.764423,-0.8144386,0.25213543
human|en/fed-turn/fed-turn_eval.json,1.6,2.8,1.4,1.2555449,-2.1907594,-0.12329389,-0.19317582,-19.959896,2.3722897,0.27801502,3.2802708
human|en/fed-turn/fed-turn_eval.json,1.2,3.2,1.8,1.9342971,-0.6265638,0.6712903,7.2192116,19.877506,8.817091,-0.7388026,1.6211429
human|en/fed-turn/fed-turn_eval.json,1.8,2.8,1.6,1.4392501,-6.2973623,-0.42965424,4.7612114,18.57095,4.2975574,-1.1735992,0.580116
human|en/fed-turn/fed-turn_eval.json,0.6,1.4,1.0,0.097225726,-10.287546,-0.29848406,-2.1091194,-19.944252,-4.678713,-1.4768236,-0.62808406
human|en/fed-turn/fed-turn_eval.json,1.6,2.8,1.6,2.2712042,-5.573102,1.9501598,4.616706,13.506111,5.4014974,-1.1015708,1.7873107
human|en/fed-turn/fed-turn_eval.json,1.6,3.2,1.8,2.5012505,-4.1460333,-0.07175275,7.436788,19.915863,10.559617,0.0052158134,0.19370471
human|en/fed-turn/fed-turn_eval.json,1.6,2.6,1.8,1.2386464,-6.392477,-1.0338244,9.774581,19.991394,14.457235,-1.0425582,2.2722445
human|en/fed-turn/fed-turn_eval.json,0.2,0.2,0.2,-0.20917153,-9.336198,-2.27221,3.948827,17.322191,-1.6629596,-1.0000709,-1.3936479
human|en/fed-turn/fed-turn_eval.json,1.0,2.6,1.6,1.2217863,-4.805366,0.7213367,7.3712606,19.94959,12.569914,-0.67551035,-0.0065170643
human|en/fed-turn/fed-turn_eval.json,1.2,3.2,1.8,3.775395,-0.16744497,2.4261665,5.984979,19.83237,8.752055,0.014512616,0.7461707
human|en/fed-turn/fed-turn_eval.json,1.2,2.4,1.6,-0.91364056,-10.658291,-0.8868964,5.3931637,19.20171,7.590837,-0.806315,-0.59833467
human|en/fed-turn/fed-turn_eval.json,1.2,3.0,1.6,-2.8725781,-11.742049,-5.130231,0.9064281,-19.655836,-2.4315383,-2.4552608,-0.9407957
human|en/fed-turn/fed-turn_eval.json,2.0,3.4,1.8,0.9324772,-8.115795,-0.2235934,5.6503015,18.87992,12.334154,-0.15749091,0.97512966
human|en/fed-turn/fed-turn_eval.json,2.0,3.0,1.8,3.1307948,-1.7692207,0.030970758,6.2376575,19.726685,3.7701175,-0.2717159,2.7873535
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,2.0,-0.0953003,-8.67285,-0.5264657,4.5477605,10.691614,8.993608,-1.9382377,1.3729794
human|en/fed-turn/fed-turn_eval.json,1.6,3.0,2.0,3.2717931,-5.4177284,2.4281807,2.0992694,-9.305317,-1.8066316,-3.262432,0.03590859
human|en/fed-turn/fed-turn_eval.json,1.2,2.4,2.0,0.10410711,-7.297105,-2.4754248,2.5282083,-18.794271,1.8895955,-0.044734966,-0.06952568
human|en/fed-turn/fed-turn_eval.json,1.6,3.4,2.0,0.12924156,-7.9526067,0.51294184,8.016971,19.942886,11.311649,-1.3185518,1.1448195
human|en/fed-turn/fed-turn_eval.json,1.0,3.2,2.0,0.47988567,-7.923568,0.12999819,10.323996,19.98088,12.39669,-3.001832,0.9522568
human|en/fed-turn/fed-turn_eval.json,1.6,3.6,2.0,1.6313229,-2.1652677,-0.95354474,6.2433825,19.806381,6.2792063,0.8493881,0.6490806
human|en/fed-turn/fed-turn_eval.json,1.0,2.0,0.8,2.9339025,-2.360724,0.60443425,3.109497,-11.932085,0.033996567,-0.38761994,-0.7764462
human|en/fed-turn/fed-turn_eval.json,1.8,3.0,1.6,0.13556874,-9.398581,0.1411683,3.6490765,5.8729005,0.34386593,0.043585077,0.06896021
human|en/fed-turn/fed-turn_eval.json,1.6,2.2,1.2,0.7205665,-9.62579,-0.6447678,3.3444371,6.2097034,5.8069043,-0.39328173,0.30096933
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,2.0,0.13786827,-8.5234785,-0.8147149,5.353131,19.580576,10.348372,-0.948222,0.7572583
human|en/fed-turn/fed-turn_eval.json,1.4,3.2,2.0,4.0045576,-0.47354698,-0.2688184,6.280181,19.730228,8.532166,-1.5731378,0.66719544
human|en/fed-turn/fed-turn_eval.json,1.4,3.4,2.0,3.5521088,1.2668574,0.7345211,10.862883,19.992794,14.777983,-0.39375132,2.7860534
human|en/fed-turn/fed-turn_eval.json,2.0,3.2,2.0,-0.57948637,-10.088853,0.66493237,4.2975154,17.476881,7.7972536,-1.5355122,0.11531568
human|en/fed-turn/fed-turn_eval.json,1.0,2.2,1.0,2.6154814,-5.720194,-2.1287713,2.668557,-0.85489756,7.4941607,-2.3342829,0.87493896
human|en/fed-turn/fed-turn_eval.json,1.2,1.6,0.8,-4.068033,-13.479881,-5.3997664,2.2450047,-10.506939,-0.87133104,-1.6996472,0.00950682
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,2.0,4.6244135,2.3784418,3.009324,5.9231176,19.691559,2.4241135,0.8830784,2.1103535
human|en/fed-turn/fed-turn_eval.json,2.0,3.8,2.0,-1.6856347,-10.479184,-2.2489128,6.3619094,19.691341,8.023376,-1.1106817,2.290807
human|en/fed-turn/fed-turn_eval.json,2.0,2.8,1.8,4.2520695,1.7079486,1.7001977,7.6909256,19.921005,8.945523,-0.7224838,0.62612957
human|en/fed-turn/fed-turn_eval.json,0.8,2.6,1.6,3.9255128,-0.9733527,2.2230334,6.2918544,19.671167,-2.1634016,0.12079479,-0.22195716
human|en/fed-turn/fed-turn_eval.json,2.0,3.4,1.6,2.3255215,-5.298431,-1.7719729,0.8195817,-13.909309,-1.9720525,-0.9861329,0.071447976
human|en/fed-turn/fed-turn_eval.json,1.2,2.0,1.6,1.4885874,-6.3558254,0.91360205,3.30833,14.565868,-3.8115394,-0.14560795,-1.0646039
human|en/fed-turn/fed-turn_eval.json,1.8,2.4,1.8,0.33630207,-3.100021,-1.2535481,6.141119,19.184582,4.765051,-0.7988183,-0.4176637
human|en/fed-turn/fed-turn_eval.json,1.0,3.6,2.0,0.47777024,-8.721417,-0.6291859,3.83279,10.302087,8.757324,-0.93092793,0.47579125
human|en/fed-turn/fed-turn_eval.json,1.0,3.2,2.0,-0.97827077,-9.428459,-0.26261336,5.270609,18.276636,4.8245745,-1.0064256,1.7993667
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,2.0,2.4224403,-3.7384222,0.14687969,4.355667,16.025259,4.0720677,0.0476207,1.2410411
human|en/fed-turn/fed-turn_eval.json,1.4,2.8,2.0,-1.2391047,-9.600205,-0.39513522,8.365371,19.8905,8.073172,-1.8943989,2.6612222
human|en/fed-turn/fed-turn_eval.json,1.8,3.6,2.0,-0.037334293,-6.64427,-0.44992077,3.5362358,0.84711206,2.7742589,-1.5086948,0.770536
human|en/fed-turn/fed-turn_eval.json,1.0,2.4,1.6,2.2806504,-6.0454206,1.0029577,3.486483,11.230047,7.323565,-0.6640327,-0.061946806
human|en/fed-turn/fed-turn_eval.json,1.2,1.6,0.6,-1.4847445,-10.836142,-3.9004064,-0.036818914,-19.946815,-0.9218576,-0.7911473,-0.56303465
human|en/fed-turn/fed-turn_eval.json,1.2,2.6,1.8,-0.1493354,-6.8077793,-1.3392286,0.8656722,-19.32759,3.0665407,-1.5902439,0.49594155
human|en/fed-turn/fed-turn_eval.json,1.8,3.0,2.0,-3.7563965,-14.254837,-4.3984323,4.238083,11.797512,6.9210052,-3.0018642,1.4638884
