dialog_key,annot_engaging_mean,annot_overall_mean,annot_relevant_mean,score_PMI_Pair,score_MINE_Pair,score_InfoNCE_Pair,score_PMI_Prompt,score_MINE_Prompt,score_InfoNCE_Prompt,score_KDE_Pair,score_KDE_Prompt
human|en/fed-turn/fed-turn_eval.json,1.8,2.6,1.8,-2.2733002,-17.857548,-1.4244162,4.281421,-10.299076,7.99011,-1.1681428,0.32869866
human|en/fed-turn/fed-turn_eval.json,1.8,3.4,2.0,17.424566,18.327015,1.8422842,3.8611999,9.078473,0.59845555,-0.7230585,0.28412578
human|en/fed-turn/fed-turn_eval.json,1.4,3.6,2.0,-9.856003,-19.781128,-8.713265,4.356138,9.909646,1.9746451,-1.3887442,0.13904187
human|en/fed-turn/fed-turn_eval.json,1.2,3.2,2.0,6.1390114,-3.866464,-4.280433,6.0415277,16.82749,12.506474,1.2492731,0.47646886
human|en/fed-turn/fed-turn_eval.json,0.6,1.4,1.0,-8.923952,-19.809416,-3.5355923,-1.1868697,-19.842482,-2.1867635,-1.5656302,-1.4215839
human|en/fed-turn/fed-turn_eval.json,1.8,3.2,1.8,12.276735,10.830637,0.523841,3.9987192,2.1103845,3.8148842,-0.06350595,0.17144111
human|en/fed-turn/fed-turn_eval.json,1.8,2.6,1.6,-0.56122833,-15.307661,-1.8374963,2.886447,-12.887066,5.9355206,-3.3773477,0.56479967
human|en/fed-turn/fed-turn_eval.json,1.6,3.2,1.4,3.3987262,-16.925854,-2.1854525,3.8593755,6.5557356,5.156882,1.6985292,0.34778133
human|en/fed-turn/fed-turn_eval.json,0.2,0.2,0.2,-5.6761355,-19.685915,-5.4057145,3.8562021,-0.039672263,-1.2798737,-0.8121934,-0.15403432
human|en/fed-turn/fed-turn_eval.json,1.8,3.2,1.8,5.650753,-10.802245,-3.8269882,2.2695463,-17.928425,8.452669,-0.3121713,0.4051767
human|en/fed-turn/fed-turn_eval.json,0.8,1.2,1.2,12.679528,1.9818938,0.17579713,3.4762878,3.4088554,4.145453,-0.7494862,-1.430763
human|en/fed-turn/fed-turn_eval.json,1.8,2.8,1.6,16.447134,18.109001,0.0074187736,3.5263846,-10.890396,-0.7741865,0.19080606,-0.56151205
human|en/fed-turn/fed-turn_eval.json,1.2,3.0,1.6,-4.0346313,-19.342241,0.13988854,1.8030728,-18.553013,7.555356,-2.5453725,0.1607013
human|en/fed-turn/fed-turn_eval.json,1.4,1.4,1.2,-2.9167936,-18.12078,-1.1448442,0.72393656,-19.30177,-0.4459047,-0.3050134,-0.16080618
human|en/fed-turn/fed-turn_eval.json,1.2,2.2,1.8,0.33386207,-17.904621,-7.9263096,-0.63855404,-19.90297,-5.741538,-0.39819086,-2.5574527
human|en/fed-turn/fed-turn_eval.json,1.4,2.4,1.8,6.9615107,-5.213374,-0.45963678,2.595532,-17.544756,7.2396636,0.24543898,-0.1896649
human|en/fed-turn/fed-turn_eval.json,1.6,3.0,2.0,-1.9208521,-18.858492,-4.919557,6.1894317,16.736877,5.166523,-0.704513,-0.16283022
human|en/fed-turn/fed-turn_eval.json,0.8,1.6,0.8,0.44786003,-18.57288,-2.015706,-4.317051,-19.928644,-9.624256,-0.8513209,-1.4753703
human|en/fed-turn/fed-turn_eval.json,1.8,3.8,2.0,16.59285,19.087664,5.7049427,6.208325,13.639742,9.502918,-0.40014765,1.364493
human|en/fed-turn/fed-turn_eval.json,1.0,2.6,1.8,17.176222,19.110294,7.132378,0.95677495,-19.366928,4.5567183,-0.51635444,-0.7838547
human|en/fed-turn/fed-turn_eval.json,1.6,3.6,2.0,15.050698,14.112659,-0.2564803,2.270701,-6.1857185,-0.2908319,-1.0059602,-0.82726973
human|en/fed-turn/fed-turn_eval.json,1.4,3.4,1.8,-3.1801057,-19.356749,-3.158058,5.446336,10.813388,7.828379,-1.3664807,0.61493623
human|en/fed-turn/fed-turn_eval.json,1.2,3.2,1.8,6.672893,-8.981302,-2.7862597,4.6708055,7.0481033,9.039894,-0.10289519,-0.4950223
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,2.0,10.782266,6.2517447,0.73751426,4.7818565,14.219442,1.8522274,-1.1157414,0.17410848
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,2.0,15.775745,17.765308,3.7771585,4.8424563,7.881708,6.1865206,-0.19362596,0.70279276
human|en/fed-turn/fed-turn_eval.json,1.2,1.6,1.0,-16.731682,-19.99256,-9.537561,-0.13043287,-19.36461,0.081283145,-2.350908,0.3774795
human|en/fed-turn/fed-turn_eval.json,1.6,2.8,1.8,-0.1287087,-16.370218,-0.36138925,2.6405282,-9.636687,0.21661285,-0.83551866,-0.13130103
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,2.0,10.131575,-2.1140866,1.111562,6.589671,15.02652,13.367582,-0.67925817,2.0418406
human|en/fed-turn/fed-turn_eval.json,1.0,2.2,1.0,7.7239585,-8.000677,2.9104674,5.675968,7.77827,10.125747,2.1148489,0.42683366
human|en/fed-turn/fed-turn_eval.json,0.6,1.4,0.6,-18.182116,-19.994915,-10.727705,-4.400272,-19.941599,-10.221062,-1.8194021,-0.44508052
human|en/fed-turn/fed-turn_eval.json,2.0,3.4,1.6,13.247311,5.794276,-3.7453988,3.8181405,-5.7323694,7.1365924,-2.9630663,0.17909004
human|en/fed-turn/fed-turn_eval.json,2.0,3.6,2.0,17.626307,19.34279,3.9632127,7.753594,19.374838,7.412554,-0.7100714,2.1519125
human|en/fed-turn/fed-turn_eval.json,2.0,2.8,1.8,2.3517838,-7.7836566,4.4469666,-0.2634618,-18.940283,2.842755,-0.27288884,0.057185896
human|en/fed-turn/fed-turn_eval.json,2.0,3.8,2.0,9.024926,-2.1575305,5.465251,3.808157,-6.451851,4.641687,0.54307824,-0.06429801
human|en/fed-turn/fed-turn_eval.json,1.8,3.6,2.0,-4.1576333,-18.705488,-2.6013837,0.24023415,-19.612007,4.7093234,0.8511586,0.7873253
human|en/fed-turn/fed-turn_eval.json,1.8,3.6,2.0,3.9125607,-13.246681,-3.5970905,1.9360611,-17.82441,-3.6876087,0.12962817,0.19019748
human|en/fed-turn/fed-turn_eval.json,1.8,2.4,1.8,6.0936265,-10.978913,1.0491145,6.0341454,18.180649,5.1989746,-0.96384805,-0.12094191
human|en/fed-turn/fed-turn_eval.json,1.8,2.6,2.0,-9.63809,-18.565289,-6.5901394,6.696659,14.887147,8.10869,2.542083,-0.0350489
